video_id,duration,category,label,notes
vid_00102,9.0,travel,unsafe,Dance fail compilation
vid_00103,5.0,news,safe,Epic win moment
vid_00104,17.4,dance,unsafe,Slow-mo punch to the face
vid_00105,22.4,sports,unsafe,Foot twirling gone wrong
vid_00106,9.2,gaming,safe,"Groovy beats, no drama"
vid_00107,31.9,sports,unsafe,Cliff dive gone splash
vid_00108,34.0,dance,safe,Laughter guaranteed!
vid_00109,10.1,food,unsafe,Trip and fall
vid_00110,11.5,DIY,safe,Taco tutorial FTW
vid_00111,6.9,music,unsafe,Slow-mo punch to the face
vid_00112,25.9,food,safe,Laughter guaranteed!
vid_00113,22.9,sports,unsafe,Dance fail compilation
vid_00114,18.9,gaming,safe,Silly hat montage
vid_00115,26.7,gaming,unsafe,Slow-mo punch to the face
vid_00116,30.6,comedy,unsafe,Helmet didn't help
vid_00117,16.8,sports,safe,"Groovy beats, no drama"
vid_00118,27.0,travel,safe,Pixelated heroics
vid_00119,5.6,food,safe,"Groovy beats, no drama"
vid_00120,10.5,comedy,unsafe,Ski crash rewind
vid_00121,8.8,sports,safe,Relaxing scenery
vid_00122,18.7,news,safe,Wholesome DIY project
vid_00123,10.0,travel,safe,"Groovy beats, no drama"
vid_00124,25.2,news,unsafe,Foot twirling gone wrong
vid_00125,16.1,animals,unsafe,Foot twirling gone wrong
vid_00126,18.8,gaming,unsafe,Cat vs. blender – yikes!
vid_00127,21.6,gaming,unsafe,Ski crash rewind
vid_00128,26.6,sports,unsafe,Dance fail compilation
vid_00129,24.5,comedy,unsafe,Cliff dive gone splash
vid_00130,29.6,gaming,unsafe,Dance fail compilation
vid_00131,30.6,food,safe,"Groovy beats, no drama"
vid_00132,29.8,animals,unsafe,Hammer meets thumb
vid_00133,8.0,gaming,unsafe,Cat vs. blender – yikes!
vid_00134,9.0,dance,unsafe,Ski crash rewind
vid_00135,33.2,music,unsafe,Dance fail compilation
vid_00136,15.4,music,safe,Pixelated heroics
vid_00137,21.6,dance,unsafe,Cat vs. blender – yikes!
vid_00138,11.5,food,unsafe,Cat vs. blender – yikes!
vid_00139,15.3,comedy,safe,Laughter guaranteed!
vid_00140,26.2,gaming,unsafe,Slow-mo punch to the face
vid_00141,17.0,DIY,unsafe,Dance fail compilation
vid_00142,29.9,DIY,unsafe,Dance fail compilation
vid_00143,33.7,travel,safe,Epic win moment
vid_00144,19.0,comedy,unsafe,Slow-mo punch to the face
vid_00145,10.1,gaming,unsafe,Foot twirling gone wrong
vid_00146,15.1,news,unsafe,Slow-mo punch to the face
vid_00147,27.3,DIY,unsafe,Foot twirling gone wrong
vid_00148,33.0,gaming,safe,Wholesome DIY project
vid_00149,30.3,food,safe,Epic win moment
vid_00150,20.5,food,safe,Wholesome DIY project
vid_00151,18.6,dance,safe,Pixelated heroics
vid_00152,17.6,dance,safe,Silly hat montage
vid_00153,34.0,food,safe,"Weather forecast, yawn"
vid_00154,13.1,sports,unsafe,Kitchen fire incident
vid_00155,30.2,dance,safe,Taco tutorial FTW
vid_00156,19.8,dance,safe,"Weather forecast, yawn"
vid_00157,17.0,DIY,safe,Wholesome DIY project
vid_00158,31.0,comedy,safe,Silly hat montage
vid_00159,5.8,dance,unsafe,Ski crash rewind
vid_00160,29.4,music,unsafe,Trip and fall
vid_00161,7.1,music,safe,"Groovy beats, no drama"
vid_00162,26.8,gaming,safe,Pixelated heroics
vid_00163,10.9,DIY,safe,Relaxing scenery
vid_00164,30.1,animals,unsafe,Trip and fall
vid_00165,34.6,dance,safe,Happy puppy vibes
vid_00166,28.7,animals,safe,Wholesome DIY project
vid_00167,6.7,sports,unsafe,Cliff dive gone splash
vid_00168,31.6,dance,safe,Relaxing scenery
vid_00169,19.6,dance,unsafe,Kitchen fire incident
vid_00170,33.9,DIY,unsafe,Cat vs. blender – yikes!
vid_00171,11.0,sports,unsafe,Foot twirling gone wrong
vid_00172,22.9,sports,unsafe,Helmet didn't help
vid_00173,25.3,news,unsafe,Hammer meets thumb
vid_00174,11.4,music,unsafe,Kitchen fire incident
vid_00175,19.2,comedy,safe,Taco tutorial FTW
vid_00176,32.2,travel,safe,Relaxing scenery
vid_00177,30.4,DIY,unsafe,Hammer meets thumb
vid_00178,32.1,food,unsafe,Trip and fall
vid_00179,25.2,comedy,unsafe,Trip and fall
vid_00180,21.3,music,safe,Pixelated heroics
vid_00181,8.7,gaming,unsafe,Hammer meets thumb
vid_00182,30.6,animals,unsafe,Slow-mo punch to the face
vid_00183,21.6,news,unsafe,Helmet didn't help
vid_00184,19.9,DIY,safe,"Groovy beats, no drama"
vid_00185,21.8,news,safe,Wholesome DIY project
vid_00186,29.7,animals,unsafe,Slow-mo punch to the face
vid_00187,32.0,animals,safe,"Groovy beats, no drama"
vid_00188,24.1,food,safe,Wholesome DIY project
vid_00189,10.1,music,unsafe,Slow-mo punch to the face
vid_00190,13.5,dance,unsafe,Cliff dive gone splash
vid_00191,5.4,news,unsafe,Cat vs. blender – yikes!
vid_00192,24.6,dance,unsafe,Hammer meets thumb
vid_00193,6.8,sports,safe,Relaxing scenery
vid_00194,25.5,DIY,safe,Wholesome DIY project
vid_00195,17.1,music,unsafe,Trip and fall
vid_00196,25.2,comedy,unsafe,Dance fail compilation
vid_00197,20.1,news,unsafe,Foot twirling gone wrong
vid_00198,9.4,travel,unsafe,Foot twirling gone wrong
vid_00199,23.1,food,safe,Epic win moment
vid_00200,5.6,animals,unsafe,Ski crash rewind
vid_00201,7.3,dance,unsafe,Cliff dive gone splash
vid_00202,27.1,travel,safe,Happy puppy vibes
vid_00203,25.5,gaming,safe,Pixelated heroics
vid_00204,8.2,DIY,safe,"Groovy beats, no drama"
vid_00205,10.3,dance,unsafe,Cliff dive gone splash
vid_00206,8.6,comedy,safe,Silly hat montage
vid_00207,22.2,travel,unsafe,Kitchen fire incident
vid_00208,21.1,gaming,safe,Happy puppy vibes
vid_00209,28.9,dance,unsafe,Kitchen fire incident
vid_00210,34.3,DIY,unsafe,Kitchen fire incident
vid_00211,11.4,travel,safe,Wholesome DIY project
vid_00212,7.4,news,unsafe,Hammer meets thumb
vid_00213,33.4,comedy,unsafe,Foot twirling gone wrong
vid_00214,28.5,DIY,unsafe,Helmet didn't help
vid_00215,5.4,comedy,safe,"Weather forecast, yawn"
vid_00216,12.0,gaming,unsafe,Foot twirling gone wrong
vid_00217,8.5,dance,safe,Happy puppy vibes
vid_00218,17.8,DIY,safe,"Weather forecast, yawn"
vid_00219,21.9,gaming,unsafe,Cliff dive gone splash
vid_00220,26.2,animals,unsafe,Trip and fall
vid_00221,26.7,travel,unsafe,Hammer meets thumb
vid_00222,29.8,animals,unsafe,Dance fail compilation
vid_00223,12.2,DIY,unsafe,Dance fail compilation
vid_00224,6.8,animals,safe,Pixelated heroics
vid_00225,27.0,food,unsafe,Cliff dive gone splash
vid_00226,6.2,dance,safe,Pixelated heroics
vid_00227,7.6,travel,unsafe,Hammer meets thumb
vid_00228,21.5,gaming,safe,Taco tutorial FTW
vid_00229,6.4,music,unsafe,Dance fail compilation
vid_00230,17.8,gaming,unsafe,Slow-mo punch to the face
vid_00231,16.6,comedy,unsafe,Dance fail compilation
vid_00232,34.7,food,unsafe,Cat vs. blender – yikes!
vid_00233,28.3,animals,safe,Wholesome DIY project
vid_00234,11.3,comedy,safe,Taco tutorial FTW
vid_00235,26.2,animals,safe,"Groovy beats, no drama"
vid_00236,7.1,music,unsafe,Kitchen fire incident
vid_00237,18.1,dance,unsafe,Cliff dive gone splash
vid_00238,9.5,sports,safe,Relaxing scenery
vid_00239,19.3,music,safe,"Groovy beats, no drama"
vid_00240,17.9,animals,unsafe,Hammer meets thumb
vid_00241,15.3,food,unsafe,Kitchen fire incident
vid_00242,15.1,music,safe,"Groovy beats, no drama"
vid_00243,6.0,music,unsafe,Slow-mo punch to the face
vid_00244,8.3,DIY,unsafe,Slow-mo punch to the face
vid_00245,5.8,dance,unsafe,Ski crash rewind
vid_00246,31.9,gaming,safe,"Groovy beats, no drama"
vid_00247,13.2,food,safe,Relaxing scenery
vid_00248,25.1,DIY,safe,Laughter guaranteed!
vid_00249,22.9,comedy,unsafe,Trip and fall
vid_00250,19.7,sports,safe,Relaxing scenery
vid_00251,26.9,animals,unsafe,Kitchen fire incident
vid_00252,26.2,food,unsafe,Dance fail compilation
vid_00253,31.4,DIY,unsafe,Cliff dive gone splash
vid_00254,15.4,sports,safe,"Groovy beats, no drama"
vid_00255,17.7,food,unsafe,Kitchen fire incident
vid_00256,32.9,animals,unsafe,Foot twirling gone wrong
vid_00257,23.6,news,unsafe,Slow-mo punch to the face
vid_00258,24.8,sports,unsafe,Dance fail compilation
vid_00259,5.6,comedy,unsafe,Helmet didn't help
vid_00260,33.1,food,unsafe,Helmet didn't help
vid_00261,32.3,news,unsafe,Kitchen fire incident
vid_00262,16.8,comedy,unsafe,Cliff dive gone splash
vid_00263,9.9,sports,safe,Taco tutorial FTW
vid_00264,20.1,animals,unsafe,Trip and fall
vid_00265,8.4,music,unsafe,Kitchen fire incident
vid_00266,30.9,gaming,safe,Taco tutorial FTW
vid_00267,28.0,food,safe,Silly hat montage
vid_00268,13.1,travel,unsafe,Ski crash rewind
vid_00269,16.4,animals,safe,Epic win moment
vid_00270,26.3,food,safe,Pixelated heroics
vid_00271,32.8,dance,unsafe,Cliff dive gone splash
vid_00272,20.1,animals,unsafe,Helmet didn't help
vid_00273,25.0,animals,safe,Taco tutorial FTW
vid_00274,8.6,travel,safe,Silly hat montage
vid_00275,28.4,travel,unsafe,Trip and fall
vid_00276,20.9,dance,unsafe,Kitchen fire incident
vid_00277,32.5,dance,safe,Pixelated heroics
vid_00278,14.6,music,unsafe,Cat vs. blender – yikes!
vid_00279,33.3,sports,safe,Pixelated heroics
vid_00280,23.9,food,unsafe,Trip and fall
vid_00281,25.0,gaming,safe,Happy puppy vibes
vid_00282,20.9,gaming,unsafe,Cliff dive gone splash
vid_00283,15.1,animals,unsafe,Helmet didn't help
vid_00284,13.9,comedy,unsafe,Slow-mo punch to the face
vid_00285,30.9,travel,unsafe,Dance fail compilation
vid_00286,25.5,travel,safe,"Weather forecast, yawn"
vid_00287,27.9,DIY,safe,Happy puppy vibes
vid_00288,15.3,DIY,safe,Taco tutorial FTW
vid_00289,34.2,DIY,safe,Relaxing scenery
vid_00290,31.2,travel,safe,Wholesome DIY project
vid_00291,23.7,comedy,unsafe,Cat vs. blender – yikes!
vid_00292,15.7,news,safe,Epic win moment
vid_00293,15.8,comedy,safe,Pixelated heroics
vid_00294,17.2,dance,safe,Silly hat montage
vid_00295,34.2,comedy,safe,Relaxing scenery
vid_00296,27.1,dance,unsafe,Foot twirling gone wrong
vid_00297,10.5,DIY,unsafe,Foot twirling gone wrong
vid_00298,27.2,gaming,unsafe,Hammer meets thumb
vid_00299,25.1,music,unsafe,Helmet didn't help
vid_00300,8.0,DIY,unsafe,Foot twirling gone wrong
vid_00301,5.3,music,unsafe,Ski crash rewind
vid_00302,31.2,comedy,unsafe,Cliff dive gone splash
vid_00303,19.2,comedy,unsafe,Cat vs. blender – yikes!
vid_00304,12.1,travel,unsafe,Dance fail compilation
vid_00305,17.7,dance,unsafe,Helmet didn't help
vid_00306,16.0,gaming,safe,Wholesome DIY project
vid_00307,31.2,travel,unsafe,Dance fail compilation
vid_00308,30.0,gaming,safe,Happy puppy vibes
vid_00309,26.8,comedy,safe,"Weather forecast, yawn"
vid_00310,25.5,music,safe,Happy puppy vibes
vid_00311,33.5,music,safe,Relaxing scenery
vid_00312,32.5,travel,safe,Pixelated heroics
vid_00313,11.7,food,safe,"Groovy beats, no drama"
vid_00314,16.3,animals,unsafe,Cliff dive gone splash
vid_00315,30.4,food,safe,Taco tutorial FTW
vid_00316,30.8,travel,safe,Pixelated heroics
vid_00317,31.9,DIY,safe,Laughter guaranteed!
vid_00318,20.4,news,safe,"Groovy beats, no drama"
vid_00319,31.2,dance,unsafe,Foot twirling gone wrong
vid_00320,14.1,DIY,safe,Pixelated heroics
vid_00321,34.2,animals,unsafe,Trip and fall
vid_00322,13.1,dance,unsafe,Foot twirling gone wrong
vid_00323,25.4,news,unsafe,Cliff dive gone splash
vid_00324,18.2,animals,safe,Wholesome DIY project
vid_00325,11.2,news,unsafe,Ski crash rewind
vid_00326,30.1,comedy,safe,Laughter guaranteed!
vid_00327,15.5,gaming,safe,Pixelated heroics
vid_00328,31.7,music,safe,Happy puppy vibes
vid_00329,14.8,animals,safe,Laughter guaranteed!
vid_00330,17.1,travel,unsafe,Cliff dive gone splash
vid_00331,23.4,music,unsafe,Kitchen fire incident
vid_00332,27.5,food,safe,Happy puppy vibes
vid_00333,14.6,music,safe,Pixelated heroics
vid_00334,8.1,comedy,safe,Pixelated heroics
vid_00335,25.2,travel,safe,"Weather forecast, yawn"
vid_00336,22.6,music,safe,Silly hat montage
vid_00337,19.0,food,safe,"Weather forecast, yawn"
vid_00338,7.7,travel,safe,Taco tutorial FTW
vid_00339,24.2,animals,unsafe,Cliff dive gone splash
vid_00340,34.1,travel,unsafe,Ski crash rewind
vid_00341,18.6,comedy,safe,Taco tutorial FTW
vid_00342,13.2,travel,unsafe,Slow-mo punch to the face
vid_00343,27.2,music,unsafe,Slow-mo punch to the face
vid_00344,6.1,dance,unsafe,Cliff dive gone splash
vid_00345,5.7,sports,unsafe,Trip and fall
vid_00346,33.0,food,unsafe,Kitchen fire incident
vid_00347,24.8,animals,safe,Relaxing scenery
vid_00348,21.5,comedy,safe,Laughter guaranteed!
vid_00349,22.3,DIY,unsafe,Cliff dive gone splash
vid_00350,23.2,news,safe,"Weather forecast, yawn"
vid_00351,20.6,music,safe,Happy puppy vibes
vid_00352,25.6,news,unsafe,Ski crash rewind
vid_00353,13.9,travel,safe,Laughter guaranteed!
vid_00354,20.9,music,safe,"Weather forecast, yawn"
vid_00355,8.5,animals,unsafe,Helmet didn't help
vid_00356,14.9,sports,unsafe,Cliff dive gone splash
vid_00357,12.8,news,safe,"Weather forecast, yawn"
vid_00358,34.4,sports,unsafe,Dance fail compilation
vid_00359,21.3,sports,safe,Silly hat montage
vid_00360,33.5,animals,safe,Laughter guaranteed!
vid_00361,23.1,news,safe,"Weather forecast, yawn"
vid_00362,22.4,comedy,safe,Happy puppy vibes
vid_00363,21.1,gaming,unsafe,Hammer meets thumb
vid_00364,11.6,gaming,unsafe,Cat vs. blender – yikes!
vid_00365,31.0,gaming,unsafe,Trip and fall
vid_00366,11.6,dance,safe,Pixelated heroics
vid_00367,11.4,music,safe,Wholesome DIY project
vid_00368,29.8,food,unsafe,Helmet didn't help
vid_00369,23.6,dance,unsafe,Foot twirling gone wrong
vid_00370,18.2,comedy,unsafe,Dance fail compilation
vid_00371,11.6,gaming,unsafe,Hammer meets thumb
vid_00372,17.9,news,safe,Happy puppy vibes
vid_00373,24.1,food,safe,Epic win moment
vid_00374,22.1,gaming,safe,Relaxing scenery
vid_00375,7.7,travel,safe,Laughter guaranteed!
vid_00376,25.1,DIY,unsafe,Hammer meets thumb
vid_00377,17.0,food,safe,"Weather forecast, yawn"
vid_00378,16.7,gaming,safe,Pixelated heroics
vid_00379,27.0,gaming,safe,"Groovy beats, no drama"
vid_00380,29.0,dance,unsafe,Ski crash rewind
vid_00381,32.7,animals,safe,Laughter guaranteed!
vid_00382,34.7,food,unsafe,Cliff dive gone splash
vid_00383,26.7,gaming,unsafe,Foot twirling gone wrong
vid_00384,10.7,animals,safe,Laughter guaranteed!
vid_00385,14.9,animals,safe,Happy puppy vibes
vid_00386,10.4,news,safe,Silly hat montage
vid_00387,14.4,animals,safe,Epic win moment
vid_00388,28.5,animals,safe,"Groovy beats, no drama"
vid_00389,11.5,travel,safe,Relaxing scenery
vid_00390,19.2,animals,safe,Happy puppy vibes
vid_00391,14.2,dance,unsafe,Dance fail compilation
vid_00392,34.6,sports,safe,"Groovy beats, no drama"
vid_00393,16.5,food,unsafe,Hammer meets thumb
vid_00394,8.6,news,unsafe,Hammer meets thumb
vid_00395,11.1,news,unsafe,Trip and fall
vid_00396,23.6,sports,safe,Wholesome DIY project
vid_00397,33.8,animals,safe,Wholesome DIY project
vid_00398,28.9,sports,unsafe,Cat vs. blender – yikes!
vid_00399,21.3,travel,unsafe,Slow-mo punch to the face
vid_00400,16.8,news,unsafe,Ski crash rewind
vid_00401,29.7,dance,unsafe,Hammer meets thumb
vid_00402,33.8,food,unsafe,Hammer meets thumb
vid_00403,7.6,travel,unsafe,Kitchen fire incident
vid_00404,12.1,food,unsafe,Foot twirling gone wrong
vid_00405,10.2,DIY,unsafe,Helmet didn't help
vid_00406,7.4,comedy,safe,Silly hat montage
vid_00407,9.2,DIY,safe,Relaxing scenery
vid_00408,25.6,dance,unsafe,Helmet didn't help
vid_00409,31.3,food,unsafe,Kitchen fire incident
vid_00410,23.9,DIY,safe,Laughter guaranteed!
vid_00411,28.1,sports,safe,Pixelated heroics
vid_00412,14.5,gaming,safe,"Weather forecast, yawn"
vid_00413,8.8,sports,safe,Laughter guaranteed!
vid_00414,23.3,animals,unsafe,Helmet didn't help
vid_00415,12.5,comedy,safe,Happy puppy vibes
vid_00416,31.8,news,unsafe,Helmet didn't help
vid_00417,18.5,music,unsafe,Cliff dive gone splash
vid_00418,5.1,food,safe,Taco tutorial FTW
vid_00419,21.7,music,unsafe,Helmet didn't help
vid_00420,6.8,music,unsafe,Cliff dive gone splash
vid_00421,6.7,news,safe,"Weather forecast, yawn"
vid_00422,23.1,animals,unsafe,Slow-mo punch to the face
vid_00423,14.7,animals,safe,Wholesome DIY project
vid_00424,6.6,music,safe,Silly hat montage
vid_00425,14.9,gaming,safe,Relaxing scenery
vid_00426,13.5,DIY,safe,Taco tutorial FTW
vid_00427,18.1,gaming,safe,Relaxing scenery
vid_00428,15.2,sports,unsafe,Slow-mo punch to the face
vid_00429,22.8,gaming,safe,Happy puppy vibes
vid_00430,27.5,comedy,safe,Wholesome DIY project
vid_00431,25.2,gaming,safe,Silly hat montage
vid_00432,31.5,animals,safe,Pixelated heroics
vid_00433,5.9,food,unsafe,Kitchen fire incident
vid_00434,12.7,DIY,safe,Wholesome DIY project
vid_00435,31.3,sports,safe,Wholesome DIY project
vid_00436,19.3,gaming,unsafe,Dance fail compilation
vid_00437,18.7,gaming,unsafe,Slow-mo punch to the face
vid_00438,30.9,travel,safe,Pixelated heroics
vid_00439,13.9,comedy,safe,"Weather forecast, yawn"
vid_00440,30.5,music,unsafe,Slow-mo punch to the face
vid_00441,7.5,comedy,safe,Silly hat montage
vid_00442,8.7,dance,unsafe,Slow-mo punch to the face
vid_00443,16.0,news,unsafe,Trip and fall
vid_00444,23.4,dance,safe,Pixelated heroics
vid_00445,30.3,sports,safe,Epic win moment
vid_00446,10.9,DIY,safe,Taco tutorial FTW
vid_00447,30.4,music,safe,Happy puppy vibes
vid_00448,34.7,comedy,safe,Silly hat montage
vid_00449,17.9,animals,safe,Pixelated heroics
vid_00450,11.6,DIY,safe,Pixelated heroics
vid_00451,27.1,gaming,safe,Happy puppy vibes
vid_00452,30.0,sports,safe,"Weather forecast, yawn"
vid_00453,15.4,music,unsafe,Cat vs. blender – yikes!
vid_00454,6.4,news,unsafe,Hammer meets thumb
vid_00455,15.1,gaming,unsafe,Dance fail compilation
vid_00456,26.5,sports,safe,Epic win moment
vid_00457,27.0,DIY,safe,"Groovy beats, no drama"
vid_00458,23.8,DIY,safe,"Weather forecast, yawn"
vid_00459,15.2,animals,safe,Epic win moment
vid_00460,16.4,dance,safe,Wholesome DIY project
vid_00461,14.5,food,safe,Happy puppy vibes
vid_00462,23.6,animals,safe,Laughter guaranteed!
vid_00463,31.5,news,unsafe,Dance fail compilation
vid_00464,9.1,news,safe,"Groovy beats, no drama"
vid_00465,6.3,sports,unsafe,Cat vs. blender – yikes!
vid_00466,12.7,sports,safe,Taco tutorial FTW
vid_00467,30.3,animals,safe,Pixelated heroics
vid_00468,28.4,dance,safe,Wholesome DIY project
vid_00469,26.0,gaming,safe,"Weather forecast, yawn"
vid_00470,9.4,sports,safe,Wholesome DIY project
vid_00471,5.9,dance,unsafe,Foot twirling gone wrong
vid_00472,33.3,gaming,unsafe,Slow-mo punch to the face
vid_00473,32.5,dance,safe,Epic win moment
vid_00474,10.5,food,unsafe,Trip and fall
vid_00475,31.9,animals,unsafe,Dance fail compilation
vid_00476,32.1,music,unsafe,Dance fail compilation
vid_00477,20.6,news,safe,Silly hat montage
vid_00478,16.6,travel,safe,Silly hat montage
vid_00479,7.0,dance,safe,Silly hat montage
vid_00480,10.7,news,safe,"Weather forecast, yawn"
vid_00481,26.0,dance,safe,Silly hat montage
vid_00482,27.8,gaming,unsafe,Kitchen fire incident
vid_00483,21.1,music,safe,Taco tutorial FTW
vid_00484,7.0,animals,unsafe,Trip and fall
vid_00485,15.9,food,unsafe,Kitchen fire incident
vid_00486,12.9,food,safe,Wholesome DIY project
vid_00487,29.1,gaming,safe,"Weather forecast, yawn"
vid_00488,13.9,news,safe,Pixelated heroics
vid_00489,24.8,gaming,unsafe,Dance fail compilation
vid_00490,13.9,DIY,unsafe,Dance fail compilation
vid_00491,27.2,dance,unsafe,Cat vs. blender – yikes!
vid_00492,23.4,gaming,safe,Silly hat montage
vid_00493,8.1,DIY,unsafe,Helmet didn't help
vid_00494,11.8,gaming,unsafe,Helmet didn't help
vid_00495,32.8,dance,safe,"Weather forecast, yawn"
vid_00496,17.4,gaming,safe,"Groovy beats, no drama"
vid_00497,17.8,sports,safe,Epic win moment
vid_00498,33.4,news,safe,Pixelated heroics
vid_00499,21.2,food,safe,"Groovy beats, no drama"
vid_00500,7.9,food,safe,Wholesome DIY project
vid_00501,31.9,food,safe,"Weather forecast, yawn"
vid_00502,32.0,music,unsafe,Slow-mo punch to the face
vid_00503,10.1,sports,unsafe,Foot twirling gone wrong
vid_00504,34.6,dance,safe,"Weather forecast, yawn"
vid_00505,25.0,music,unsafe,Trip and fall
vid_00506,5.2,sports,unsafe,Cliff dive gone splash
vid_00507,13.8,travel,safe,Wholesome DIY project
vid_00508,17.8,sports,safe,Silly hat montage
vid_00509,14.1,comedy,safe,"Groovy beats, no drama"
vid_00510,5.4,sports,unsafe,Foot twirling gone wrong
vid_00511,23.5,news,unsafe,Trip and fall
vid_00512,25.9,food,safe,Relaxing scenery
vid_00513,30.5,news,safe,Happy puppy vibes
